zip,type,primary_city,state,county,country,irs_estimated_population
25902,STANDARD,Odd,WV,Raleigh County,US,280
25904,PO BOX,Pax,WV,Fayette County,US,439
25906,PO BOX,Piney View,WV,Raleigh County,US,436
25907,PO BOX,Prince,WV,Fayette County,US,88
25908,STANDARD,Princewick,WV,Raleigh County,US,230
25909,PO BOX,Prosperity,WV,Raleigh County,US,745
25911,PO BOX,Raleigh,WV,Raleigh County,US,222
25913,STANDARD,Ravencliff,WV,Wyoming County,US,250
25915,STANDARD,Rhodell,WV,Raleigh County,US,269
25916,PO BOX,Sabine,WV,Wyoming County,US,119
25917,STANDARD,Scarbro,WV,Fayette County,US,1450
25918,STANDARD,Shady Spring,WV,Raleigh County,US,3650
25919,PO BOX,Skelton,WV,Raleigh County,US,177
25920,STANDARD,Slab Fork,WV,Raleigh County,US,175
25921,PO BOX,Sophia,WV,Raleigh County,US,1871
25922,STANDARD,Spanishburg,WV,Mercer County,US,390
25926,STANDARD,Beckley,WV,Raleigh County,US,0
25927,PO BOX,Stanaford,WV,Raleigh County,US,360
25928,STANDARD,Stephenson,WV,Wyoming County,US,280
25932,STANDARD,Surveyor,WV,Raleigh County,US,300
25936,STANDARD,Thurmond,WV,Fayette County,US,26
25938,STANDARD,Victor,WV,Fayette County,US,1010
25942,PO BOX,Winona,WV,Fayette County,US,181
25943,PO BOX,Wyco,WV,Wyoming County,US,84
25951,STANDARD,Hinton,WV,Summers County,US,3690
25958,STANDARD,Charmco,WV,Greenbrier County,US,540
25962,STANDARD,Rainelle,WV,Greenbrier County,US,2420
25965,STANDARD,Elton,WV,Summers County,US,0
25966,PO BOX,Green Sulphur Springs,WV,Summers County,US,109
25969,STANDARD,Jumping Branch,WV,Summers County,US,880
25971,STANDARD,Lerona,WV,Mercer County,US,910
25972,PO BOX,Leslie,WV,Greenbrier County,US,156
25976,STANDARD,Meadow Bridge,WV,Fayette County,US,1680
25977,STANDARD,Meadow Creek,WV,Summers County,US,68
25978,STANDARD,Nimitz,WV,Summers County,US,530
25979,STANDARD,Pipestem,WV,Summers County,US,730
25981,STANDARD,Quinwood,WV,Greenbrier County,US,550
25984,STANDARD,Rupert,WV,Greenbrier County,US,1340
25985,STANDARD,Sandstone,WV,Summers County,US,350
25986,PO BOX,Spring Dale,WV,Fayette County,US,133
25989,STANDARD,White Oak,WV,Raleigh County,US,340
26003,STANDARD,Wheeling,WV,Ohio County,US,34290
26030,PO BOX,Beech Bottom,WV,Brooke County,US,568
26031,STANDARD,Benwood,WV,Marshall County,US,1510
26032,STANDARD,Bethany,WV,Brooke County,US,540
26033,STANDARD,Cameron,WV,Marshall County,US,2130
26034,STANDARD,Chester,WV,Hancock County,US,3660
26035,STANDARD,Colliers,WV,Brooke County,US,2120
26036,STANDARD,Dallas,WV,Marshall County,US,410
26037,STANDARD,Follansbee,WV,Brooke County,US,5460
